table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,
"Annual Estimates of the Resident Population for Metropolitan Statistical Areas in the United States and Puerto Rico: April 1, 2010 to July 1, 2019",,,,,,,,,,,,
Geographic Area,"April 1, 2010",,Population Estimate (as of July 1),,,,,,,,,
,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
".Jackson, MS Metro Area","586,320","587,115","588,272","593,409","595,585","596,325","597,357","597,928","599,170","599,358","597,376","594,806"
".Jackson, TN Metro Area","179,694","179,711","179,762","179,692","179,857","179,836","179,358","178,607","178,306","178,336","178,315","178,644"
".Jacksonville, FL Metro Area","1,345,596","1,345,594","1,348,907","1,361,972","1,377,607","1,393,432","1,416,446","1,444,638","1,476,023","1,505,033","1,532,663","1,559,514"
".Jacksonville, NC Metro Area","177,772","177,801","186,892","184,993","190,678","192,354","191,822","193,114","192,314","195,066","196,915","197,938"
".Janesville-Beloit, WI Metro Area","160,331","160,325","160,260","159,867","160,065","160,341","160,920","161,006","161,320","162,205","162,874","163,354"
".Jefferson City, MO Metro Area","149,807","149,820","149,991","150,413","150,391","150,669","150,727","150,928","151,375","151,319","151,512","151,235"
".Johnson City, TN Metro Area","198,716","198,757","199,010","199,574","200,473","200,470","200,021","200,331","201,457","201,909","202,900","203,649"
".Johnstown, PA Metro Area","143,679","143,695","143,461","142,579","141,536","138,826","137,537","136,028","134,414","132,960","131,449","130,192"
".Jonesboro, AR Metro Area","121,026","121,019","121,263","122,854","124,292","125,840","126,813","128,459","129,906","131,259","132,719","133,860"
".Joplin, MO Metro Area","175,518","175,509","175,833","173,846","174,407","175,144","175,869","176,686","177,397","178,239","178,613","179,564"
".Kahului-Wailuku-Lahaina, HI Metro Area","154,834","154,840","155,020","156,936","158,889","161,004","163,036","163,904","165,350","166,146","166,972","167,417"
".Kalamazoo-Portage, MI Metro Area","250,331","250,327","250,751","252,600","255,353","257,311","258,951","259,676","261,304","262,998","264,680","265,066"
".Kankakee, IL Metro Area","113,449","113,450","113,418","113,519","112,974","112,735","111,883","111,750","111,080","110,540","109,953","109,862"
".Kansas City, MO-KS Metro Area","2,009,342","2,009,355","2,013,361","2,025,490","2,038,586","2,053,850","2,069,182","2,085,913","2,107,066","2,127,203","2,144,427","2,157,990"
".Kennewick-Richland, WA Metro Area","253,340","253,328","255,542","263,487","268,071","270,766","274,154","278,945","283,693","290,096","295,289","299,612"
".Killeen-Temple, TX Metro Area","405,300","405,308","408,262","412,348","423,475","423,931","426,421","432,583","436,421","442,998","451,272","460,303"
".Kingsport-Bristol, TN-VA Metro Area","309,544","309,493","309,480","309,098","308,623","307,811","307,198","306,279","306,017","306,496","306,736","307,202"
".Kingston, NY Metro Area","182,493","182,519","182,418","182,448","181,538","180,698","180,400","179,658","179,042","178,635","178,418","177,573"
".Knoxville, TN Metro Area","814,914","815,025","815,984","820,702","825,007","829,017","832,928","837,818","844,942","853,645","861,234","869,046"
".Kokomo, IN Metro Area","82,752","82,748","82,752","82,797","82,839","82,738","82,605","82,338","82,304","82,210","82,257","82,544"
".La Crosse-Onalaska, WI-MN Metro Area","133,665","133,658","133,897","134,106","135,307","135,655","136,140","136,385","136,384","136,710","136,613","136,616"
".Lafayette, LA Metro Area","466,750","466,733","467,612","470,935","474,205","479,794","484,876","489,507","490,877","490,299","489,680","489,207"
".Lafayette-West Lafayette, IN Metro Area","210,297","210,310","210,687","213,230","216,449","219,183","221,445","223,573","227,088","228,101","230,938","233,002"
".Lake Charles, LA Metro Area","199,607","199,640","199,943","200,534","201,110","202,205","203,296","205,275","207,464","209,410","210,190","210,409"
".Lake Havasu City-Kingman, AZ Metro Area","200,186","200,182","200,314","202,812","203,347","203,126","203,423","204,574","205,412","207,017","209,292","212,181"
".Lakeland-Winter Haven, FL Metro Area","602,095","602,073","603,102","609,948","615,453","622,633","634,398","648,523","665,823","685,368","706,597","724,777"
".Lancaster, PA Metro Area","519,445","519,443","520,319","523,957","526,878","530,012","533,289","535,811","538,160","541,332","543,969","545,724"
".Lansing-East Lansing, MI Metro Area","534,684","534,684","534,899","536,605","537,005","538,089","540,028","541,271","545,146","548,380","548,674","550,391"
".Laredo, TX Metro Area","250,304","250,304","251,370","255,935","260,595","264,430","267,465","269,865","272,301","273,691","275,120","276,652"
".Las Cruces, NM Metro Area","209,233","209,217","210,097","213,126","214,450","214,288","213,933","214,034","214,663","216,174","217,278","218,195"
".Las Vegas-Henderson-Paradise, NV Metro Area","1,951,269","1,951,268","1,952,587","1,961,925","1,989,224","2,017,193","2,053,134","2,096,717","2,138,836","2,181,635","2,226,115","2,266,715"
".Lawrence, KS Metro Area","110,826","110,826","111,198","112,479","113,313","114,713","116,445","118,141","119,662","120,281","121,109","122,259"
".Lawton, OK Metro Area","130,291","130,288","131,569","132,255","132,696","131,113","130,909","130,011","127,676","127,649","126,348","126,415"
".Lebanon, PA Metro Area","133,568","133,597","133,664","134,529","135,545","135,804","136,538","137,479","138,480","139,553","141,339","141,793"
".Lewiston, ID-WA Metro Area","60,888","60,893","61,040","61,409","61,413","61,927","62,031","62,108","62,422","62,798","62,872","62,990"
".Lewiston-Auburn, ME Metro Area","107,702","107,709","107,708","107,439","107,486","107,223","107,358","107,124","107,296","107,399","107,914","108,277"
".Lexington-Fayette, KY Metro Area","472,099","472,103","473,412","478,930","485,236","490,906","495,137","501,469","507,387","512,381","514,938","517,056"
".Lima, OH Metro Area","106,331","106,313","106,358","105,988","105,244","105,055","104,848","104,095","103,613","103,093","102,725","102,351"
".Lincoln, NE Metro Area","302,157","302,157","302,961","306,619","310,328","314,103","319,634","323,090","327,409","330,975","333,800","336,374"
".Little Rock-North Little Rock-Conway, AR Metro Area","699,757","699,790","702,294","710,682","717,665","723,159","728,190","730,889","734,166","737,557","740,081","742,384"
".Logan, UT-ID Metro Area","125,442","125,442","126,167","127,591","128,693","129,827","130,804","132,652","135,521","137,703","140,104","142,165"
".Longview, TX Metro Area","280,000","280,007","280,487","282,427","283,056","282,589","283,219","283,767","283,641","284,602","285,315","286,657"
".Longview, WA Metro Area","102,410","102,408","102,358","102,309","101,663","101,483","101,790","102,999","104,740","106,805","108,752","110,593"
".Los Angeles-Long Beach-Anaheim, CA Metro Area","12,828,837","12,828,957","12,838,417","12,925,753","13,013,443","13,097,434","13,166,609","13,234,696","13,270,694","13,278,000","13,249,879","13,214,799"
"..Anaheim-Santa Ana-Irvine, CA Metro Division","3,010,232","3,008,989","3,015,171","3,049,271","3,078,068","3,104,950","3,126,537","3,149,280","3,164,986","3,174,289","3,175,973","3,175,692"
"..Los Angeles-Long Beach-Glendale, CA Metro Division","9,818,605","9,819,968","9,823,246","9,876,482","9,935,375","9,992,484","10,040,072","10,085,416","10,105,708","10,103,711","10,073,906","10,039,107"
".Louisville/Jefferson County, KY-IN Metro Area","1,202,718","1,202,686","1,204,655","1,211,869","1,220,183","1,232,178","1,239,354","1,246,231","1,252,525","1,259,553","1,262,023","1,265,108"
".Lubbock, TX Metro Area","290,805","290,889","292,241","295,338","297,793","301,167","306,056","310,001","313,780","317,094","319,239","322,257"
".Lynchburg, VA Metro Area","252,634","252,654","252,969","254,190","255,725","256,832","257,953","259,447","260,537","261,813","262,893","263,566"
".Macon-Bibb County, GA Metro Area","232,293","232,245","232,199","232,707","232,734","231,225","230,441","229,795","229,148","228,985","229,594","229,996"
".Madera, CA Metro Area","150,865","150,834","150,986","151,675","151,527","151,370","153,456","153,576","153,956","155,423","156,882","157,327"
".Madison, WI Metro Area","605,435","605,466","606,625","613,159","619,719","626,833","633,369","640,198","648,388","655,250","659,927","664,865"
".Manchester-Nashua, NH Metro Area","400,721","400,706","401,055","402,774","404,344","405,281","407,275","408,985","411,333","413,204","414,630","417,025"
".Manhattan, KS Metro Area","127,081","127,094","128,521","130,746","137,731","136,294","135,665","136,989","134,000","131,667","131,698","130,285"
".Mankato, MN Metro Area","96,740","96,742","96,844","97,325","97,994","97,718","98,670","99,199","100,075","100,968","101,577","101,927"
".Mansfield, OH Metro Area","124,475","124,474","124,162","123,144","122,633","122,314","121,999","121,688","121,242","120,430","120,987","121,154"
".McAllen-Edinburg-Mission, TX Metro Area","774,769","774,764","779,149","795,517","808,334","818,619","829,819","839,667","848,960","856,249","862,298","868,707"
".Medford, OR Metro Area","203,206","203,204","203,341","204,747","205,852","207,179","209,189","211,403","214,366","216,746","219,411","220,944"
".Memphis, TN-MS-AR Metro Area","1,316,100","1,316,102","1,317,489","1,323,741","1,331,396","1,332,114","1,333,432","1,334,790","1,336,204","1,338,582","1,342,497","1,346,045"
".Merced, CA Metro Area","255,793","255,796","256,721","259,297","260,867","262,026","264,419","266,353","267,628","271,096","274,151","277,680"
".Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","5,564,635","5,566,274","5,583,394","5,668,271","5,745,743","5,822,754","5,893,858","5,969,135","6,055,686","6,118,155","6,143,837","6,166,488"
"..Fort Lauderdale-Pompano Beach-Sunrise, FL Metro Division","1,748,066","1,748,146","1,752,803","1,786,980","1,814,253","1,836,600","1,860,933","1,885,040","1,912,583","1,934,516","1,946,107","1,952,778"
"..Miami-Miami Beach-Kendall, FL Metro Division","2,496,435","2,497,993","2,506,972","2,544,531","2,576,554","2,609,692","2,634,269","2,659,839","2,692,213","2,713,295","2,714,854","2,716,940"
"..West Palm Beach-Boca Raton-Boynton Beach, FL Metro Division","1,320,134","1,320,135","1,323,619","1,336,760","1,354,936","1,376,462","1,398,656","1,424,256","1,450,890","1,470,344","1,482,876","1,496,770"
".Michigan City-La Porte, IN Metro Area","111,467","111,466","111,459","111,317","111,304","111,423","111,735","110,835","110,222","109,842","109,981","109,888"
".Midland, MI Metro Area","83,629","83,621","83,651","83,805","83,721","83,651","83,492","83,662","83,422","83,314","83,223","83,156"
".Midland, TX Metro Area","141,671","141,671","141,783","145,108","152,312","157,628","162,187","167,974","169,466","170,849","178,186","182,603"
".Milwaukee-Waukesha, WI Metro Area","1,555,908","1,555,954","1,556,678","1,561,296","1,567,248","1,571,732","1,575,002","1,576,496","1,576,004","1,574,444","1,573,995","1,575,179"
".Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","3,333,633","3,333,628","3,340,007","3,373,392","3,405,952","3,440,782","3,476,192","3,503,728","3,538,527","3,575,699","3,610,061","3,640,043"
".Missoula, MT Metro Area","109,299","109,296","109,467","110,245","111,042","111,900","112,801","114,122","116,349","117,834","118,640","119,600"
".Mobile, AL Metro Area","430,573","430,719","430,941","430,423","430,962","430,815","431,017","431,294","431,566","430,567","430,310","429,536"
".Modesto, CA Metro Area","514,453","514,450","515,145","517,560","520,424","523,451","528,015","533,211","539,255","544,717","548,126","550,660"
".Monroe, LA Metro Area","204,420","204,487","204,675","204,886","205,151","205,454","205,570","205,668","205,319","203,894","202,138","200,261"
".Monroe, MI Metro Area","152,021","152,031","151,936","151,496","150,804","150,139","149,847","149,353","149,159","149,449","150,174","150,500"
".Montgomery, AL Metro Area","374,536","374,540","375,119","375,549","374,872","374,114","373,476","373,365","373,865","374,174","373,022","373,290"
".Morgantown, WV Metro Area","129,709","129,702","130,308","132,678","134,813","135,948","137,396","138,523","139,403","139,608","139,204","139,044"
".Morristown, TN Metro Area","136,608","136,858","136,945","137,560","137,753","137,924","138,280","139,212","139,924","140,898","141,778","142,749"
".Mount Vernon-Anacortes, WA Metro Area","116,901","116,892","116,944","117,578","117,714","118,255","119,966","121,559","123,603","125,860","127,835","129,205"
".Muncie, IN Metro Area","117,671","117,670","117,665","117,901","117,027","116,831","116,487","115,767","115,657","115,246","114,297","114,135"
".Muskegon, MI Metro Area","172,188","172,194","171,913","170,026","170,159","172,273","172,254","172,447","173,227","173,645","173,599","173,566"
".Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area","376,722","376,575","378,343","385,650","393,299","403,705","416,065","431,198","447,337","463,514","480,985","496,901"
".Napa, CA Metro Area","136,484","136,535","136,759","137,691","138,538","139,580","140,405","140,862","140,840","139,878","138,789","137,744"
".Naples-Marco Island, FL Metro Area","321,520","321,522","322,581","327,629","332,233","338,987","347,211","356,041","365,445","372,678","378,201","384,902"
".Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","1,646,200","1,646,183","1,650,831","1,674,534","1,703,609","1,735,012","1,768,350","1,804,671","1,841,294","1,874,515","1,904,726","1,934,317"
".New Bern, NC Metro Area","126,802","126,808","127,423","128,135","128,409","127,172","126,778","125,371","124,985","124,703","124,584","124,284"
".New Haven-Milford, CT Metro Area","862,477","862,442","863,357","863,871","864,566","862,820","862,885","860,186","857,901","857,748","856,971","854,757"
".New Orleans-Metairie, LA Metro Area","1,189,866","1,189,891","1,195,324","1,214,008","1,226,887","1,239,584","1,248,905","1,260,281","1,267,613","1,270,326","1,270,133","1,270,530"
".New York-Newark-Jersey City, NY-NJ-PA Metro Area","18,897,109","18,896,277","18,923,407","19,052,774","19,149,689","19,226,449","19,280,929","19,320,968","19,334,778","19,322,607","19,276,644","19,216,182"
"..Nassau County-Suffolk County, NY Metro Division","2,832,882","2,832,996","2,836,008","2,845,115","2,846,598","2,849,539","2,850,230","2,846,807","2,842,358","2,840,651","2,838,364","2,833,525"
"..Newark, NJ-PA Metro Division","2,147,727","2,146,271","2,147,559","2,152,836","2,153,507","2,156,780","2,157,654","2,158,381","2,160,926","2,166,313","2,169,430","2,167,829"
"..New Brunswick-Lakewood, NJ Metro Division","2,340,249","2,340,425","2,342,905","2,349,442","2,354,324","2,359,761","2,363,448","2,366,342","2,369,200","2,375,350","2,378,290","2,379,977"
"..New York-Jersey City-White Plains, NY-NJ Metro Division","11,576,251","11,576,585","11,596,935","11,705,381","11,795,260","11,860,369","11,909,597","11,949,438","11,962,294","11,940,293","11,890,560","11,834,851"
".Niles, MI Metro Area","156,813","156,808","156,737","156,885","156,621","156,129","155,977","155,022","154,325","154,128","153,790","153,401"
".North Port-Sarasota-Bradenton, FL Metro Area","702,281","702,312","703,354","709,775","720,281","731,796","747,228","767,309","788,341","805,186","820,716","836,995"
".Norwich-New London, CT Metro Area","274,055","274,070","274,004","273,037","274,091","272,976","271,462","269,636","268,403","267,419","266,285","265,206"
".Ocala, FL Metro Area","331,298","331,299","331,331","332,286","333,873","335,083","338,005","342,182","347,469","353,339","359,062","365,579"
".Ocean City, NJ Metro Area","97,265","97,257","97,212","96,494","96,228","95,498","94,907","94,160","93,655","93,129","92,446","92,039"
".Odessa, TX Metro Area","137,130","137,136","137,075","139,642","144,495","149,656","154,588","159,903","157,858","156,951","161,960","166,223"
".Ogden-Clearfield, UT Metro Area","597,159","597,162","599,740","605,591","612,185","621,224","630,767","640,334","652,476","664,040","673,660","683,864"
".Oklahoma City, OK Metro Area","1,252,987","1,253,002","1,257,793","1,277,045","1,297,857","1,320,148","1,336,256","1,357,178","1,372,985","1,381,492","1,393,605","1,408,950"
".Olympia-Lacey-Tumwater, WA Metro Area","252,264","252,260","253,001","256,386","258,527","261,852","264,909","267,978","273,714","280,269","286,056","290,536"
".Omaha-Council Bluffs, NE-IA Metro Area","865,350","865,347","867,671","876,022","884,555","893,864","903,335","913,073","923,431","931,987","940,970","949,442"
".Orlando-Kissimmee-Sanford, FL Metro Area","2,134,411","2,134,399","2,139,161","2,176,054","2,225,636","2,270,149","2,324,391","2,388,509","2,455,583","2,517,777","2,574,838","2,608,147"
".Oshkosh-Neenah, WI Metro Area","166,994","167,000","167,073","167,493","168,525","169,283","169,324","169,246","169,629","170,394","170,878","171,907"
".Owensboro, KY Metro Area","114,752","114,746","114,770","115,255","115,972","116,373","116,529","117,521","118,092","118,455","118,879","119,440"
".Oxnard-Thousand Oaks-Ventura, CA Metro Area","823,318","823,398","825,097","830,099","833,516","838,136","842,297","845,802","847,323","849,044","848,142","846,006"
".Palm Bay-Melbourne-Titusville, FL Metro Area","543,376","543,372","543,965","544,359","546,966","550,255","555,548","565,746","576,874","587,769","595,203","601,942"
".Panama City, FL Metro Area","168,852","168,850","169,206","169,555","171,757","174,596","178,289","181,488","183,634","184,736","186,240","174,705"
".Parkersburg-Vienna, WV Metro Area","92,673","92,667","92,698","92,643","92,390","92,360","92,259","92,139","91,476","90,846","89,991","89,339"
".Pensacola-Ferry Pass-Brent, FL Metro Area","448,991","448,991","450,946","455,139","461,613","467,086","470,628","475,537","481,367","487,298","494,399","502,629"
".Peoria, IL Metro Area","416,255","416,253","416,051","416,687","416,866","418,092","415,479","412,856","410,754","406,913","403,328","400,561"
".Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","5,965,343","5,965,677","5,970,899","5,996,232","6,016,616","6,030,134","6,046,382","6,056,816","6,066,661","6,078,522","6,091,208","6,102,434"
"..Camden, NJ Metro Division","1,250,679","1,251,021","1,251,554","1,252,459","1,251,910","1,248,615","1,247,164","1,245,413","1,243,735","1,242,795","1,242,623","1,243,456"
"..Montgomery County-Bucks County-Chester County, PA Metro Division","1,924,009","1,924,229","1,926,184","1,934,681","1,940,107","1,946,703","1,953,776","1,957,511","1,962,419","1,970,015","1,976,822","1,984,174"
"..Philadelphia, PA Metro Division","2,084,985","2,084,769","2,087,264","2,099,741","2,112,585","2,119,812","2,128,156","2,134,290","2,139,759","2,144,459","2,148,823","2,150,811"
"..Wilmington, DE-MD-NJ Metro Division","705,670","705,658","705,897","709,351","712,014","715,004","717,286","719,602","720,748","721,253","722,940","723,993"
".Phoenix-Mesa-Chandler, AZ Metro Area","4,192,887","4,193,129","4,204,204","4,253,037","4,329,756","4,403,121","4,488,970","4,578,519","4,673,336","4,758,748","4,849,209","4,948,203"
".Pine Bluff, AR Metro Area","100,258","100,289","100,107","99,052","97,423","95,769","94,882","94,022","92,380","90,875","89,246","87,804"
".Pittsburgh, PA Metro Area","2,356,285","2,356,294","2,357,090","2,360,417","2,360,443","2,359,803","2,356,189","2,347,757","2,340,222","2,329,004","2,322,653","2,317,600"
".Pittsfield, MA Metro Area","131,219","131,274","131,317","130,547","130,284","129,488","128,856","127,858","127,067","126,353","125,901","124,944"
".Pocatello, ID Metro Area","90,656","90,661","90,892","91,421","91,585","91,246","91,265","91,871","92,357","93,088","94,374","95,489"
".Portland-South Portland, ME Metro Area","514,098","514,108","513,911","516,070","517,632","519,987","523,989","525,831","528,912","531,899","535,232","538,500"
".Portland-Vancouver-Hillsboro, OR-WA Metro Area","2,226,009","2,226,003","2,232,181","2,262,834","2,288,465","2,311,015","2,343,994","2,381,660","2,426,575","2,454,815","2,473,350","2,492,412"
".Port St. Lucie, FL Metro Area","424,107","424,107","425,173","428,287","431,912","436,425","443,164","452,841","463,891","472,864","481,167","489,297"
".Poughkeepsie-Newburgh-Middletown, NY Metro Area","670,301","670,280","671,173","672,230","670,722","670,588","669,972","669,842","670,828","673,303","676,065","679,158"
".Prescott Valley-Prescott, AZ Metro Area","211,033","211,017","210,983","211,044","211,990","214,421","217,716","220,805","224,575","228,082","231,772","235,099"
".Providence-Warwick, RI-MA Metro Area","1,600,852","1,601,206","1,603,125","1,602,957","1,605,741","1,607,460","1,611,026","1,612,928","1,614,840","1,616,614","1,622,379","1,624,578"
".Provo-Orem, UT Metro Area","526,810","526,885","530,262","541,001","549,980","561,534","571,059","583,218","601,304","618,035","633,149","648,252"
".Pueblo, CO Metro Area","159,063","159,063","159,390","160,184","160,721","161,033","161,356","163,006","164,774","166,283","167,422","168,424"
".Punta Gorda, FL Metro Area","159,978","159,967","159,875","159,869","162,744","164,671","168,041","172,382","177,671","181,522","184,849","188,910"
".Racine, WI Metro Area","195,408","195,428","195,406","194,908","194,594","194,680","194,786","194,672","194,846","195,825","196,357","196,311"
".Raleigh-Cary, NC Metro Area","1,130,490","1,130,493","1,137,383","1,162,179","1,187,848","1,213,499","1,241,189","1,271,091","1,303,854","1,334,235","1,361,590","1,390,785"
".Rapid City, SD Metro Area","126,382","126,400","126,727","127,903","130,075","132,320","134,231","134,858","136,450","138,444","140,154","142,107"
".Reading, PA Metro Area","411,442","411,570","412,039","413,008","413,518","413,915","414,559","415,138","415,784","417,511","420,529","421,164"
".Redding, CA Metro Area","177,223","177,221","177,274","177,588","177,875","178,397","178,844","178,314","178,571","179,384","179,709","180,080"
".Reno, NV Metro Area","425,417","425,442","425,951","427,901","431,208","434,878","440,110","446,329","453,709","460,605","468,335","475,642"
".Richmond, VA Metro Area","1,186,501","1,186,471","1,188,246","1,197,059","1,211,015","1,222,549","1,235,006","1,246,665","1,258,471","1,269,566","1,281,053","1,291,900"
".Riverside-San Bernardino-Ontario, CA Metro Area","4,224,851","4,224,948","4,242,424","4,294,897","4,334,716","4,369,493","4,415,343","4,461,227","4,512,041","4,565,909","4,612,542","4,650,631"
".Roanoke, VA Metro Area","308,707","308,666","308,589","309,134","310,479","311,878","312,747","313,152","312,647","312,988","313,033","313,222"
".Rochester, MN Metro Area","206,877","206,888","207,222","208,473","209,547","211,502","212,659","213,933","216,163","217,993","219,814","221,921"
".Rochester, NY Metro Area","1,079,671","1,079,704","1,079,974","1,081,557","1,081,508","1,081,736","1,080,094","1,077,092","1,074,063","1,071,962","1,071,621","1,069,644"
".Rockford, IL Metro Area","349,431","349,431","349,184","347,773","345,819","344,692","342,409","340,727","339,635","338,194","337,110","336,116"
".Rocky Mount, NC Metro Area","152,392","152,368","152,405","151,790","150,862","149,843","149,066","147,529","147,236","146,775","146,078","145,770"
".Rome, GA Metro Area","96,317","96,314","96,431","96,161","95,940","95,880","95,868","96,186","96,698","97,500","97,964","98,498"
".Sacramento-Roseville-Folsom, CA Metro Area","2,149,127","2,149,150","2,153,613","2,172,948","2,190,266","2,210,512","2,235,640","2,263,121","2,291,533","2,319,572","2,341,940","2,363,730"
".Saginaw, MI Metro Area","200,169","200,169","199,862","198,899","198,363","196,794","195,248","193,305","192,507","191,965","190,791","190,539"
".St. Cloud, MN Metro Area","189,093","189,093","189,218","190,090","190,562","191,552","193,109","195,425","196,912","198,436","200,166","201,964"
".St. George, UT Metro Area","138,115","138,115","138,389","141,249","144,139","146,987","151,081","154,650","159,352","165,929","171,567","177,556"
".St. Joseph, MO-KS Metro Area","127,329","127,319","127,271","127,700","127,908","127,635","127,261","126,724","126,597","126,323","125,998","125,223"
".St. Louis, MO-IL Metro Area","2,787,701","2,787,751","2,789,989","2,795,155","2,796,682","2,799,472","2,803,430","2,807,503","2,805,502","2,805,758","2,803,958","2,803,228"
".Salem, OR Metro Area","390,738","390,738","391,479","393,978","396,076","398,015","402,092","408,022","416,818","424,242","430,404","433,903"
".Salinas, CA Metro Area","415,057","415,059","416,373","420,456","424,788","426,712","428,475","430,552","433,953","434,534","433,950","434,061"
".Salisbury, MD-DE Metro Area","373,802","373,754","374,821","378,196","381,216","384,567","388,766","393,526","398,676","404,155","409,999","415,726"
".Salt Lake City, UT Metro Area","1,087,873","1,087,808","1,091,478","1,106,800","1,123,748","1,140,025","1,151,447","1,164,912","1,184,721","1,204,205","1,218,681","1,232,696"
".San Angelo, TX Metro Area","112,966","112,968","113,422","114,513","116,071","117,519","119,233","120,390","120,535","120,365","120,834","122,027"
".San Antonio-New Braunfels, TX Metro Area","2,142,508","2,142,520","2,153,009","2,193,923","2,236,981","2,280,002","2,328,894","2,379,232","2,426,276","2,472,121","2,512,379","2,550,960"
".San Diego-Chula Vista-Carlsbad, CA Metro Area","3,095,313","3,095,349","3,103,212","3,137,156","3,174,335","3,209,768","3,248,877","3,280,850","3,306,089","3,321,237","3,333,861","3,338,330"
".San Francisco-Oakland-Berkeley, CA Metro Area","4,335,391","4,335,593","4,343,634","4,395,725","4,455,473","4,519,636","4,584,981","4,647,924","4,688,198","4,712,421","4,726,314","4,731,803"
"..Oakland-Berkeley-Livermore, CA Metro Division","2,559,296","2,559,462","2,565,526","2,596,355","2,631,312","2,672,994","2,716,668","2,758,943","2,788,218","2,805,731","2,817,275","2,824,855"
"..San Francisco-San Mateo-Redwood City, CA Metro Division","1,523,686","1,523,701","1,525,204","1,543,994","1,568,100","1,588,233","1,607,954","1,628,065","1,639,418","1,646,941","1,649,377","1,648,122"
"..San Rafael, CA Metro Division","252,409","252,430","252,904","255,376","256,061","258,409","260,359","260,916","260,562","259,749","259,662","258,826"
".San Jose-Sunnyvale-Santa Clara, CA Metro Area","1,836,911","1,836,951","1,841,556","1,868,031","1,894,452","1,923,664","1,949,578","1,974,501","1,987,593","1,992,674","1,993,804","1,990,660"
".San Luis Obispo-Paso Robles, CA Metro Area","269,637","269,597","269,802","271,058","274,160","275,696","278,227","280,077","281,803","282,481","283,354","283,111"
".Santa Cruz-Watsonville, CA Metro Area","262,382","262,350","263,147","264,858","266,340","268,816","270,861","273,503","274,396","274,856","273,841","273,213"
".Santa Fe, NM Metro Area","144,170","144,232","144,522","145,847","146,722","147,465","147,782","148,098","148,758","149,491","149,761","150,358"
".Santa Maria-Santa Barbara, CA Metro Area","423,895","423,947","424,231","425,453","429,699","434,601","439,045","442,229","444,340","445,298","445,780","446,499"
".Santa Rosa-Petaluma, CA Metro Area","483,878","483,861","484,755","487,421","489,993","494,073","498,560","500,863","502,547","502,469","498,643","494,336"
".Savannah, GA Metro Area","347,611","347,597","348,640","355,582","361,745","365,103","371,275","377,827","383,153","386,394","389,453","393,353"
".Scranton--Wilkes-Barre, PA Metro Area","563,631","563,604","563,740","563,676","563,704","561,495","560,146","557,734","555,722","555,655","555,215","553,885"
".Seattle-Tacoma-Bellevue, WA Metro Area","3,439,809","3,439,808","3,449,241","3,503,891","3,558,829","3,612,347","3,675,160","3,739,654","3,816,355","3,885,579","3,935,179","3,979,845"
"..Seattle-Bellevue-Kent, WA Metro Division","2,644,584","2,644,586","2,653,851","2,696,268","2,743,294","2,791,335","2,842,464","2,895,876","2,953,460","3,005,925","3,041,423","3,074,865"
"..Tacoma-Lakewood, WA Metro Division","795,225","795,222","795,390","807,623","815,535","821,012","832,696","843,778","862,895","879,654","893,756","904,980"
".Sebastian-Vero Beach, FL Metro Area","138,028","138,028","138,270","139,103","140,473","141,895","144,445","147,434","151,159","154,241","157,187","159,923"
".Sebring-Avon Park, FL Metro Area","98,786","98,784","98,635","98,477","98,222","98,077","98,584","100,137","102,041","103,852","104,933","106,221"
".Sheboygan, WI Metro Area","115,507","115,512","115,524","115,208","114,767","114,697","114,982","115,196","115,030","115,089","115,233","115,340"
".Sherman-Denison, TX Metro Area","120,877","120,877","121,034","121,430","121,854","122,362","123,599","125,628","128,291","131,152","133,787","136,212"
".Shreveport-Bossier City, LA Metro Area","398,604","398,606","399,935","403,880","407,435","406,237","404,534","404,000","401,947","400,161","397,281","394,706"
".Sierra Vista-Douglas, AZ Metro Area","131,346","131,359","131,822","133,097","132,017","129,578","127,314","126,454","125,686","124,864","126,411","125,922"
".Sioux City, IA-NE-SD Metro Area","143,577","143,582","143,901","144,171","143,723","143,623","143,590","143,736","143,844","143,165","143,787","144,701"
".Sioux Falls, SD Metro Area","228,261","228,264","229,099","232,150","237,032","241,772","246,133","250,012","254,602","260,083","263,810","268,232"
".South Bend-Mishawaka, IN-MI Metro Area","319,224","319,203","319,044","318,884","318,296","318,639","319,410","319,703","321,144","321,538","322,697","323,613"
".Spartanburg, SC Metro Area","284,307","284,304","284,731","286,102","288,176","290,414","292,981","296,558","300,867","306,740","314,137","319,785"
".Spokane-Spokane Valley, WA Metro Area","514,752","514,752","515,553","516,889","518,930","521,603","526,336","532,163","541,030","550,259","558,827","568,521"
".Springfield, IL Metro Area","210,170","210,170","210,465","211,736","212,095","211,713","211,692","211,254","210,424","209,365","207,928","206,868"
".Springfield, MA Metro Area","692,942","693,059","694,935","698,017","699,061","699,964","701,671","700,688","699,804","699,387","700,138","697,382"
".Springfield, MO Metro Area","436,712","436,756","437,349","440,432","444,329","448,427","451,556","455,593","457,917","462,090","466,273","470,300"
