MSA,Violent Crime,Murder,Murder Rate,Population 2019 (DO NOT USE),Population 2010 (DO NOT USE),Population 10 year CAGR,Median income (dollars),Mean income (dollars),City,State,Population,Density,Zip Code,lat_x,lon,% Sale Price Change Since Feb,Avg Sale Price Last 12M,Sale Price Last,Sale Pr CAGR GFC,Sale Pr Standard Deviation,Unnamed: 0,Unnamed: 1,1 Year Avg Return,3 Year Avg Return,5 Year Avg Return,lat_y,lng,population,firstzip,% Rent Change Since Feb,2019 Annualized Rent,Avg Monthly Rent 2019,Avg Monthly Rent Last 12M,Last 12M Annualized Rent,Monthly Rent Last,Rent CAGR since 2014-01,Rent Standard Deviation,Affordability Rent/Median Inc,Affordability Rent/Avg Inc,Capitalization Rate Last
"Stockton, CA",4122.0,49.0,16.07137,762148.0,687127.0,0.01158004957561487,68997.0,92484.0,Stockton,CA,397264.0,1941.0,95219,37.9765,-121.3109,0.05354216514222587,385821.4166666667,402451.0,0.11021683909733482,0.04764811175821275,Stockton,CA,0.04938656734691138,0.0524524471963066,0.05340649987185864,37.9765,-121.3109,397264.0,95219.0,0.029889879391714835,22099.0,1841.5833333333333,1919.4166666666667,23033.0,1964.0,0.06570193264123203,0.013754825074990753,0.32028928794005534,0.23894943990311837,0.05856116645256193
"Omaha, NE",2329.0,48.0,10.61355174,949442.0,867671.0,0.010057106495366508,70373.0,89617.0,Omaha,NE,847819.0,1309.0,68112,41.2627,-96.0522,0.04029347434321284,204246.83333333334,210700.0,0.050188547545131135,0.011821374416274564,Omaha,NE,0.028354240751810256,0.03055732648532028,0.03129454708553525,41.2627,-96.0522,847819.0,68112.0,0.030125523012552335,13952.0,1162.6666666666667,1202.9166666666667,14435.0,1231.0,0.03687102115234797,0.0034125368507137376,0.198257854574908,0.15568474731356774,0.07010915994304699
"Minneapolis, MN",4395.0,47.0,11.3669618,3640043.0,3340007.0,0.009603889965735135,83698.0,108523.0,Minneapolis,MN,2977172.0,3071.0,55403,44.9635,-93.2678,0.04147509188807974,297712.4166666667,307156.0,0.06489886886400353,0.020529427431569266,,,,,,,,,,0.007585335018963413,18667.0,1555.5833333333333,1584.4166666666667,19013.0,1594.0,0.03627007250883718,0.005926335226962702,0.22302802934359245,0.1720096200805359,0.06227454453111774
"Albuquerque, NM",5406.0,43.0,7.682398909,918018.0,889558.0,0.0035052722725648078,58512.0,79305.0,Albuquerque,NM,761195.0,1155.0,87121,35.1053,-106.6464,0.06090139107022652,216924.5,226965.0,0.03857336452827198,0.015394757644180425,Albuquerque,NM,0.022465388017892,0.02308672211552309,0.024241442557249915,35.1053,-106.6464,761195.0,87121.0,0.022530329289428108,13464.0,1122.0,1159.25,13911.0,1180.0,0.03079130382782802,0.004444083734988309,0.23010664479081214,0.16977491961414792,0.06238847399378759
"Sacramento, CA",3611.0,43.0,8.780581437999999,2363730.0,2153613.0,0.010397457666326826,76706.0,102207.0,Sacramento,CA,1898019.0,2029.0,95820,38.5667,-121.4683,0.04940578518573879,432291.5833333333,449280.0,0.09211716228402866,0.03621276235275982,Sacramento,CA,0.04256746785604193,0.04621250393690257,0.047403791020109935,38.5667,-121.4683,1898019.0,95820.0,0.024766097963676348,21241.0,1770.0833333333333,1826.9166666666667,21923.0,1862.0,0.06313607412143885,0.010453724046232914,0.2769144525851954,0.20782333891025076,0.04973290598290598
"Buffalo, NY",2887.0,41.0,15.88556196,1127983.0,1135627.0,-0.0007501450860755154,60105.0,78749.0,Buffalo,NY,914341.0,2441.0,14208,42.9016,-78.8487,0.05095933069688985,178886.83333333334,186292.0,0.03218880170629279,0.0107412424452233,Buffalo,NY,0.026337351368231454,0.028066034491544437,0.02872841236910562,42.9016,-78.8487,914341.0,14208.0,0.02730696798493404,12434.0,1036.1666666666667,1068.3333333333333,12820.0,1091.0,0.03888663239314338,0.0031007296085903534,0.20687130854338243,0.15789406849610788,0.07027676980224594
"Fresno, CA",2871.0,39.0,7.487947285,999101.0,932039.0,0.007750012115325555,57518.0,76573.0,Fresno,CA,703498.0,1789.0,93730,36.7831,-119.7941,0.05956902739562153,271143.8333333333,283422.0,0.0796392661122356,0.038481265824878805,Fresno,CA,0.040739173466377336,0.041603399325076174,0.04219547289568415,36.7831,-119.7941,703498.0,93730.0,0.028610354223433276,17051.0,1420.9166666666667,1477.0,17724.0,1510.0,0.048238762311400674,0.011108584591375663,0.2964463298445704,0.2226764002977551,0.06393293392891165
"Boston, MA",4702.0,38.0,5.712069603,4873019.0,4566348.0,0.007248354420772873,94430.0,129070.0,Boston,MA,4688346.0,5532.0,02120,42.3188,-71.0846,0.044116525432233544,503238.3333333333,520206.0,0.0524139470780125,0.018500692276851968,Boston,MA,0.042906130233400175,0.04600912620197351,0.047163878409413496,42.3188,-71.0846,4688346.0,2120.0,-0.011750881316098694,30409.0,2534.0833333333335,2545.25,30543.0,2523.0,0.027688973138105588,0.005340689833117457,0.3220268982314942,0.2356008367552491,0.058200020761006215
"San Diego, CA",5582.0,37.0,2.641975855,3338330.0,3103212.0,0.008147789344235656,83985.0,112786.0,San Diego,CA,3220118.0,1686.0,92109,32.8312,-117.1225,0.054200284448534974,606099.3333333334,632264.0,0.07298702207101804,0.0313629268470302,San Diego,CA,0.04986941583096316,0.05222271776308296,0.05391932143701772,32.8312,-117.1225,3220118.0,92109.0,0.009442060085836923,27524.0,2293.6666666666665,2334.4166666666665,28013.0,2352.0,0.04751313865713902,0.009053697128853715,0.32772518902184916,0.2440373805259518,0.04463958093454633
"Long Beach, CA",2766.0,36.0,7.557975974,,,,,,Long Beach,CA,462628.0,3523.0,90822,33.7981,-118.1675,,,,,,,,,,,,,,,,,,,,,,,,,
"Tampa, FL",2298.0,34.0,9.33084145,3194831.0,2788366.0,0.015234708401632435,57906.0,81013.0,Tampa,FL,2908063.0,1353.0,33637,27.9942,-82.4451,0.0579380908513627,226621.91666666666,236574.0,0.08695330308508886,0.03088824270194439,Tampa,FL,0.03790887444963986,0.04111864736713056,0.04250465745435661,27.9942,-82.4451,2908063.0,33637.0,0.022149837133550454,17968.0,1497.3333333333333,1542.5833333333333,18511.0,1569.0,0.046344614021776476,0.008916667619381044,0.3102959969605913,0.22179156431683802,0.07958609145552765
"Tucson, AZ",3472.0,31.0,5.85264549,1047279.0,981620.0,0.007219981837303324,56169.0,76892.0,Tucson,AZ,888486.0,889.0,85705,32.1545,-110.8782,0.059062605372597554,225202.66666666666,235562.0,0.062382450207862705,0.027707590930287247,Tucson,AZ,0.02857689006117825,0.031033153449969705,0.030973336642598825,32.1545,-110.8782,888486.0,85705.0,0.03071948261924007,14369.0,1197.4166666666667,1245.0,14940.0,1275.0,0.04218597422349091,0.007998492541098688,0.25581726575157115,0.1868724964885814,0.0649510532259023
"San Jose, CA",3400.0,30.0,2.908504273,1990660.0,1841556.0,0.008688121831804896,130865.0,178600.0,San Jose,CA,1798103.0,2218.0,95118,37.3019,-121.8486,0.07441100468517003,1148844.5,1219074.0,0.09008154271255386,0.033578503627757675,San Jose,CA,0.06222251994229432,0.06649687113892666,0.06865176069285361,37.3019,-121.8486,1798103.0,95118.0,-0.01967107384714606,37157.0,3096.4166666666665,3085.8333333333335,37030.0,3040.0,0.05675467361046671,0.00969327905423536,0.28393382493409236,0.20804591265397537,0.029924352418310946
"Wichita, KS",3839.0,27.0,6.926202593999999,640218.0,623887.0,0.0028751788797023448,59779.0,78167.0,Wichita,KS,482249.0,931.0,67230,37.6896,-97.3442,0.04570616598874011,150114.33333333334,155279.0,0.03273613035602585,0.011651318928217925,Wichita,KS,0.02210666192600508,0.023792348260855082,0.024419984177460833,37.6896,-97.3442,482249.0,67230.0,0.019583843329253448,9615.0,801.25,820.5,9846.0,833.0,,0.003363446059810401,0.16084243630706435,0.12300587204318958,0.06437444857321338
"Anchorage, AK",3226.0,26.0,8.631020552,396317.0,383053.0,0.0037894993160108026,80676.0,105027.0,Anchorage,AK,247949.0,65.0,99518,61.1508,-149.1091,-0.04824653008525259,310590.0833333333,300756.0,0.016954962938005025,0.015616799096560517,Anchorage,AK,0.032727230267987295,0.03585520868746639,0.037066507157575534,61.1508,-149.1091,247949.0,99518.0,,,,,,,,,,,
"Greensboro, NC",1707.0,26.0,9.092498689,771851.0,725264.0,0.006941290935542854,51770.0,71474.0,Greensboro,NC,343090.0,887.0,27410,36.0956,-79.8269,0.05939814085394679,160997.75,168100.0,0.04354905681315735,0.01059438424450349,Greensboro,NC,0.02135054426196792,0.022668558265702687,0.023240764757589183,36.0956,-79.8269,343090.0,27410.0,0.0237899917965545,14241.0,1186.75,1225.5833333333333,14707.0,1248.0,0.03425567855047218,0.0030583352977312105,0.2750820938767626,0.19924727873072726,0.0890898274836407
